Messages,Lang
要不下吧,CHINESE
中,CHINESE
中啥,CHINESE
可以,CHINESE
俺们河南人,CHINESE
中推吧,CHINESE
好,CHINESE
中、,CHINESE
ебаные дети собак,RUSSIAN
я понимаю что ваше время нихуя не стоит,RUSSIAN
но все же ливните нахуй из этого лобби,RUSSIAN
терпи сын шлюхи,RUSSIAN
не все так просто ,RUSSIAN
sosi,SPANISH
((((((((((((,[]
GG,ENGLISH
jd,SPANISH
速度,CHINESE
速度,CHINESE
快递了 ,CHINESE
快点了 ,CHINESE
你把装备A了,CHINESE
傻逼真的,CHINESE
这PA  就是 NC,CHINESE
没人收,CHINESE
上把  差点被他玩丢,CHINESE
PA在哪呢,CHINESE
帕克,CHINESE
说错了,CHINESE
。,[]
妈的上来就直接-50,CHINESE
想开点,CHINESE
60把以前我从5500掉到5200,CHINESE
jidi,SPANISH
诈降？,CHINESE
诈降 举报UG,CHINESE
上路养怪物 诈降 废物中得废物,CHINESE
帮你们一起举报UG,CHINESE
哈哈,CHINESE
EN,SPANISH
go end,SPANISH
？,[]
??,[]
по,RUSSIAN
лучше бы морфа пикнул,RUSSIAN
на дровке,RUSSIAN
тоже думал,RUSSIAN
потом обосрался баланара,RUSSIAN
ты тройка дровка?,RUSSIAN
gg,ENGLISH
КАМБЭК,RUSSIAN
всё,RUSSIAN
ща победим,RUSSIAN
fj this game,ENGLISH
kill me,ENGLISH
jusr end,ENGLISH
straigh mid,ENGLISH
report?,ENGLISH
MK,ENGLISH
ok,ENGLISH
queque sup but dont sup ,SPANISH
lol,SPANISH
tq for report MK,ENGLISH
go ,SPANISH
straigh to mid,ENGLISH
we dont def,ENGLISH
excpt thats fucking mk and party,ENGLISH
tq,ENGLISH
gg,ENGLISH
end fast,ENGLISH
mid dif,ENGLISH
my core need farm,ENGLISH
he cant last hit in lane,ENGLISH
our mid lowest level,ENGLISH
isay welose when we sta,ENGLISH
useless mid and tank hhhh,ENGLISH
ez,SPANISH
基地吧,CHINESE
вы тут,RUSSIAN
почти,RUSSIAN
куда,RUSSIAN
стелишь,RUSSIAN
дурка,RUSSIAN
я попал,RUSSIAN
в зомби апокалипсис,RUSSIAN
ez,SPANISH
nihao,ENGLISH
xie xie,ENGLISH
legit,ENGLISH
5 на 5 в миду,RUSSIAN
пиздец,RUSSIAN
на меня войд обиделся,RUSSIAN
за то что я крипа украл,RUSSIAN
гг,RUSSIAN
сюдаааа,RUSSIAN
rage quit,ENGLISH
its a rage,ENGLISH
rage quit,ENGLISH
wait dogs,ENGLISH
DUDE,ENGLISH
HE ALREADY ABANDONED,ENGLISH
scared??,ENGLISH
CANT U READ?,ENGLISH
abandoned sir.,ENGLISH
end fast,ENGLISH
stupid spec,SPANISH
i shouldnt be playing my lil brothers acc in the first plys,ENGLISH
end,ENGLISH
afk spec,ENGLISH
ABANDONED,ENGLISH
yeah,ENGLISH
end,ENGLISH
dont def,ENGLISH
dnt def idiots,ENGLISH
We are ending easily,ENGLISH
dont def,ENGLISH
go hays,ENGLISH
fucking team,ENGLISH
im the only 1 has kills haha,ENGLISH
gg,ENGLISH
buhahaha,SPANISH
gg,ENGLISH
i  am  mvp,ENGLISH
i agree,ENGLISH
соло,RUSSIAN
гг,RUSSIAN
gg,ENGLISH
速推吧下路,CHINESE
抓紧推吧,CHINESE
虐菜局,CHINESE
ставлю на кента,RUSSIAN
Сигареты кент,RUSSIAN
советую,RUSSIAN
ставлю к конце игры 25 пальцев,RUSSIAN
Правда уехали,RUSSIAN
парламент ,RUSSIAN
С красной кнопкой хуй купишь,RUSSIAN
Парламент хуета,RUSSIAN
щас бы кнопки курить,RUSSIAN
Щас бы курить,RUSSIAN
кнопки ,RUSSIAN
начнем с этого,RUSSIAN
дети курят ,RUSSIAN
Я насвай по вене кидаю,RUSSIAN
Я меф на волосы мажу,RUSSIAN
Вопросы?,RUSSIAN
Ты сын шлюхи?,RUSSIAN
Предложения?,RUSSIAN
ответ жду,RUSSIAN
еблан?,RUSSIAN
полнейший,RUSSIAN
ты на кого заришься,RUSSIAN
я таких как ты,RUSSIAN
в 41,RUSSIAN
ебал и буду ебать ,RUSSIAN
очкошник,RUSSIAN
бывает не ту деталь купил на фантомке,RUSSIAN
?,[]
ник мой чекайте,RUSSIAN
я неделю придумывал,RUSSIAN
